inhibitor	n	auroc	spearman	reliability	ceiling	tier	frac_of_ceiling
PD173955	448	0.5731	0.1135	0.1174684168646332	0.3427366581861841	unreliable	0.331
Vatalanib (PTK787)	447	0.5847	0.1113	0.2761803354009873	0.5255286247208494	weak	0.212
Afatinib (BIBW-2992)	453	0.6109	0.096	0.1590197290742066	0.3987727787527712	weak	0.241
H-89	408	0.554	0.0957	-0.0163191721444396	0.0	unreliable	
VX-745	452	0.5601	0.094	0.3076544011889513	0.5546660267124275	moderate	0.169
PHT-427	443	0.5564	0.0917	0.1881095215313779	0.4337159456734071	weak	0.211
TG100-115	446	0.5674	0.0892	-0.0240838834631188	0.0	unreliable	
Neratinib (HKI-272)	448	0.6001	0.0852	0.1590197290742066	0.3987727787527712	weak	0.214
DBZ	362	0.6345	0.0849	0.2331726484652465	0.4828795382548804	weak	0.176
Imatinib	499	0.5175	0.0847	0.2006110459112364	0.4478962445826448	weak	0.189
S31-201	398	0.5828	0.0806	-0.1075578471052364	0.0	unreliable	
Roscovitine (CYC-202)	456	0.5749	0.0797	-0.0639074439106939	0.0	unreliable	
Alisertib (MLN8237)	454	0.5734	0.0783	0.3574836114735236	0.597899332223681	moderate	0.131
JNJ-38877605	449	0.5711	0.0696	0.389108376954579	0.623785521597431	moderate	0.112
Masitinib (AB-1010)	443	0.5518	0.0633	0.2006110459112364	0.4478962445826449	weak	0.141
SB-431542	454	0.5655	0.0461	0.2797167839767274	0.5288825805192751	weak	0.087
AGI-5198	296	0.5142	0.0443	0.3070101272701991	0.5540849458974672	moderate	0.08
AZD1480	451	0.5368	0.0406	0.2252389919178374	0.4745935017652869	weak	0.086
GSK690693	442	0.554	0.0383	0.0340656426079713	0.1845688018273168	unreliable	0.208
Selinexor	238	0.5434	0.0286	0.03336020813245	0.1826477706747335	unreliable	0.156
Azacytidine	363	0.4759	0.0223	-0.0714722211003934	0.0	unreliable	
Volasertib (BI-6727)	345	0.4715	-0.0057	0.0849477197145479	0.2914579210015536	unreliable	-0.019
JNJ-7706621	450	0.5222	-0.0067	0.2817174735019268	0.5307706411454262	weak	-0.013
MLN120B	447	0.4769	-0.0208	0.3687482203065756	0.6072464246964124	moderate	-0.034
STO609	410	0.4701	-0.021	0.1068625686801424	0.3268984072768517	unreliable	-0.064
SGX-523	448	0.4332	-0.0462	0.3849702086319027	0.6204596752665742	moderate	-0.074
BMS-345541	454	0.407	-0.0739	0.1498212262615644	0.3870674699087543	unreliable	-0.191
